iter	Logloss
0	0.6872176302
1	0.681297055
2	0.6760616692
3	0.670774042
4	0.6653820091
5	0.6612738989
6	0.6567163377
7	0.6540005414
8	0.6497636607
9	0.6468314591
10	0.6430685621
11	0.6381904437
12	0.6354221572
13	0.6316451947
14	0.6281649617
15	0.6240923895
16	0.6194794279
17	0.6151668121
18	0.6110609982
19	0.6072972927
20	0.6040129807
21	0.6005526423
22	0.5975594073
23	0.593679611
24	0.5901248465
25	0.5862932829
26	0.5844838334
27	0.581310654
28	0.5778999645
29	0.5745283233
30	0.5710723245
31	0.5679187431
32	0.5648021906
33	0.5614336789
34	0.5593743543
35	0.557679082
36	0.555058781
37	0.5520870379
38	0.5505784857
39	0.548340623
40	0.5462753052
41	0.5437577679
42	0.54178043
43	0.5393199862
44	0.5370824177
45	0.5343540939
46	0.5325457818
47	0.5296884966
48	0.5284335788
49	0.5256570851
50	0.5238424392
51	0.5213320203
52	0.5191337443
53	0.517223285
54	0.515144928
55	0.5140455604
56	0.5125578821
57	0.5105529478
58	0.5082842938
59	0.5063038731
60	0.5047261921
61	0.5031394743
62	0.5016687056
63	0.4996818605
64	0.4984057875
65	0.4967291149
66	0.4953933955
67	0.4939186438
68	0.4921813918
69	0.4909535232
70	0.4896033788
71	0.4883813988
72	0.4867527841
73	0.4850266894
74	0.4836513901
75	0.4824707283
76	0.481441753
77	0.4800680848
78	0.4793914335
79	0.4778949693
80	0.4763246988
81	0.4748239074
82	0.4737280495
83	0.4727099174
84	0.4711394742
85	0.4702317852
86	0.4690751319
87	0.4680365762
88	0.4665228848
89	0.4651421991
90	0.4640222539
91	0.463428972
92	0.4619446516
93	0.4605301229
94	0.4592468785
95	0.4579839112
96	0.4575609332
97	0.456641166
98	0.4553005904
99	0.4543299228
100	0.4530082314
101	0.4520172111
102	0.4508513739
103	0.4504263759
104	0.4491636661
105	0.4486144655
106	0.4478389612
107	0.4469302391
108	0.4460858474
109	0.4457362776
110	0.4451581957
111	0.4444504144
112	0.4433734688
113	0.4423842124
114	0.4413867702
115	0.4406941853
116	0.4403592446
117	0.439222833
118	0.4389523099
119	0.4386866346
120	0.4380372562
121	0.4379011871
122	0.4371937478
123	0.4362612449
124	0.4353960691
125	0.4345711469
126	0.4340897462
127	0.4333158208
128	0.432428059
129	0.431966211
130	0.4314018914
131	0.4305988846
132	0.4301127729
133	0.4298617543
134	0.4294473852
135	0.4288490966
136	0.4281115672
137	0.4277784079
138	0.4269570253
139	0.4261138252
140	0.4253667555
141	0.424908587
142	0.424431693
143	0.4239972982
144	0.423658793
145	0.4234703584
146	0.4227918822
147	0.4222088512
148	0.4214787794
149	0.4207639568
150	0.4204607972
151	0.4200620077
152	0.4199065752
153	0.4196728776
154	0.4192789062
155	0.4187662747
156	0.4179573671
157	0.4172352053
158	0.41689811
159	0.4162154825
160	0.4158706316
161	0.4157979394
162	0.4157235662
163	0.415256328
164	0.4145973174
165	0.4143227726
166	0.4136016096
167	0.4128853747
168	0.4126078548
169	0.4120864865
170	0.4115586777
171	0.4111759402
172	0.4106827927
173	0.4103620573
174	0.410019024
175	0.4093081245
176	0.4092013445
177	0.4087333898
178	0.4083808613
179	0.4078706406
180	0.4074697433
181	0.4071588477
182	0.4067554741
183	0.4064091367
184	0.4062280334
185	0.4057829943
186	0.4052468735
187	0.4049100529
188	0.4043456652
189	0.4039323898
190	0.4035507516
191	0.4031564645
192	0.4031109848
193	0.4028641242
194	0.4026977089
195	0.402412353
196	0.4021648921
197	0.402021174
198	0.4016971742
199	0.4015041693
200	0.4014033129
201	0.4009193523
202	0.400788835
203	0.4003775391
204	0.4000612031
205	0.3998616659
206	0.3995216458
207	0.3993683444
208	0.3990805985
209	0.3988167035
210	0.3984455092
211	0.3978975574
212	0.3975336671
213	0.3972181226
214	0.3969187626
215	0.3965815625
216	0.3963799594
217	0.3961146131
218	0.3957758568
219	0.3955936146
220	0.3952010655
221	0.3949277208
222	0.3947607696
223	0.3946397904
224	0.3944859345
225	0.3942186052
226	0.3938199208
227	0.3935610235
228	0.3931493518
229	0.393032723
230	0.3928134066
231	0.3925665604
232	0.3923005625
233	0.3920188422
234	0.3919860655
235	0.3917991644
236	0.3913847608
237	0.3911431102
238	0.390775825
239	0.3903931452
240	0.3902064754
241	0.389796803
242	0.3894619059
243	0.3892299336
244	0.3890000053
245	0.3887906396
246	0.3887640627
247	0.3882803962
248	0.3878772507
249	0.3875449974
250	0.3874752229
251	0.3874542916
252	0.3872619265
253	0.3869085101
254	0.3864788341
255	0.3860278535
256	0.3858173311
257	0.3857091521
258	0.3853836211
